date,state,district,market,commodity,variety,min_price,max_price,modal_price,unit
2024-01-17,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1403.43,1660.14,1504.42,Quintal
2024-01-18,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1390.51,1791.64,1583.55,Quintal
2024-01-19,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1444.55,2018.32,1684.69,Quintal
2024-01-20,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1530.27,1782.09,1650.38,Quintal
2024-01-21,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1650.48,1888.99,1780.21,Quintal
2024-01-22,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1492.44,1798.28,1684.76,Quintal
2024-01-23,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1464.85,1757.54,1658.78,Quintal
2024-01-24,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1523.32,1899.67,1728.89,Quintal
2024-01-25,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1630.18,1946.43,1736.6,Quintal
2024-01-26,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1550.55,2081.26,1798.86,Quintal
2024-01-27,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1615.22,1958.39,1742.23,Quintal
2024-01-28,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1672.19,2064.83,1853.31,Quintal
2024-01-29,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1457.2,1861.99,1653.21,Quintal
2024-01-30,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1546.12,1787.11,1643.48,Quintal
2024-01-31,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1571.88,1911.63,1800.8,Quintal
2024-02-01,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1464.9,1790.23,1666.6,Quintal
2024-02-02,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1672.16,1937.47,1797.31,Quintal
2024-02-03,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1664.26,2003.84,1771.9,Quintal
2024-02-04,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1494.33,1907.42,1712.12,Quintal
2024-02-05,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1539.99,1948.71,1652.7,Quintal
2024-02-06,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1514.32,1839.64,1698.16,Quintal
2024-02-07,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1464.81,1870.36,1699.34,Quintal
2024-02-08,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1555.42,1992.74,1724.64,Quintal
2024-02-09,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1584.73,2137.91,1787.9,Quintal
2024-02-10,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1430.16,1718.39,1627.99,Quintal
2024-02-11,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1633.92,2018.56,1793.63,Quintal
2024-02-12,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1462.78,1900.91,1692.08,Quintal
2024-02-13,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1659.59,1900.58,1749.58,Quintal
2024-02-14,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1602.35,2125.86,1833.85,Quintal
2024-02-15,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1616.48,2086.91,1822.87,Quintal
2024-02-16,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1571.4,2149.94,1829.27,Quintal
2024-02-17,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1739.67,2126.03,1972.24,Quintal
2024-02-18,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1679.26,1925.78,1829.74,Quintal
2024-02-19,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1526.61,1836.2,1693.95,Quintal
2024-02-20,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1534.58,1850.01,1669.67,Quintal
2024-02-21,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1705.34,1934.76,1807.13,Quintal
2024-02-22,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1629.32,2042.73,1728.78,Quintal
2024-02-23,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1561.61,2048.75,1783.07,Quintal
2024-02-24,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1665.18,2003.23,1844.12,Quintal
2024-02-25,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1672.26,2305.25,1946.05,Quintal
2024-02-26,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1569.32,1957.21,1775.44,Quintal
2024-02-27,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1692.16,2172.65,1834.13,Quintal
2024-02-28,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1655.97,1924.81,1811.38,Quintal
2024-02-29,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1591.15,2176.46,1837.01,Quintal
2024-03-01,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1574.31,1988.22,1851.02,Quintal
2024-03-02,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1620.86,2066.73,1791.26,Quintal
2024-03-03,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1632.76,1924.09,1772.39,Quintal
2024-03-04,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1610.53,2120.47,1824.89,Quintal
2024-03-05,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1709.18,2118.83,1866.4,Quintal
2024-03-06,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1582.61,2035.26,1841.6,Quintal
2024-03-07,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1665.97,1950.28,1758.65,Quintal
2024-03-08,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1673.58,2039.7,1781.91,Quintal
2024-03-09,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1691.41,2094.26,1863.42,Quintal
2024-03-10,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1732.18,2307.58,1992.1,Quintal
2024-03-11,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1610.78,2035.71,1706.25,Quintal
2024-03-12,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1735.61,2038.01,1843.47,Quintal
2024-03-13,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1760.14,2190.87,1859.9,Quintal
2024-03-14,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1613.58,2032.5,1834.77,Quintal
2024-03-15,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1580.34,2066.26,1822.87,Quintal
2024-03-16,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1830.99,2240.0,1940.4,Quintal
2024-03-17,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1661.44,2184.58,1822.75,Quintal
2024-03-18,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1565.11,2042.87,1811.46,Quintal
2024-03-19,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1695.78,2130.32,1843.83,Quintal
2024-03-20,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1662.07,2052.46,1876.04,Quintal
2024-03-21,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1769.38,2242.14,1888.94,Quintal
2024-03-22,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1716.83,2143.76,1905.18,Quintal
2024-03-23,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1772.16,2252.03,1925.85,Quintal
2024-03-24,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1864.51,2185.58,1985.63,Quintal
2024-03-25,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1585.19,1842.85,1746.13,Quintal
2024-03-26,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1616.96,2040.49,1803.52,Quintal
2024-03-27,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1612.87,1995.84,1890.71,Quintal
2024-03-28,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1611.8,1908.77,1728.92,Quintal
2024-03-29,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1737.36,2028.55,1874.17,Quintal
2024-03-30,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1643.55,1914.71,1801.57,Quintal
2024-03-31,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1721.22,2181.1,1903.87,Quintal
2024-04-01,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1621.29,2102.39,1757.29,Quintal
2024-04-02,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1549.07,1817.56,1666.53,Quintal
2024-04-03,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1656.05,1967.06,1852.62,Quintal
2024-04-04,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1685.92,2036.2,1892.39,Quintal
2024-04-05,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1675.3,2104.74,1935.33,Quintal
2024-04-06,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1850.18,2205.61,2019.8,Quintal
2024-04-07,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1824.4,2239.65,1929.59,Quintal
2024-04-08,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1756.17,2140.5,1968.89,Quintal
2024-04-09,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1682.12,2210.3,1899.41,Quintal
2024-04-10,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1676.87,1989.4,1868.55,Quintal
2024-04-11,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1716.17,2139.62,1908.63,Quintal
2024-04-12,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1640.63,2106.22,1843.71,Quintal
2024-04-13,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1627.12,1882.34,1781.18,Quintal
2024-04-14,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1803.47,2360.67,2003.16,Quintal
2024-04-15,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1545.0,1812.49,1686.92,Quintal
2024-04-16,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1558.04,2079.22,1827.29,Quintal
2024-04-17,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1679.93,2022.13,1779.54,Quintal
2024-04-18,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1757.9,2221.04,1962.33,Quintal
2024-04-19,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1659.81,1947.71,1758.0,Quintal
2024-04-20,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1619.14,2073.89,1889.05,Quintal
2024-04-21,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1712.81,1930.93,1832.89,Quintal
2024-04-22,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1500.31,2009.85,1740.87,Quintal
2024-04-23,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1703.0,2204.31,1865.5,Quintal
2024-04-24,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1647.55,2019.78,1876.04,Quintal
2024-04-25,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1734.67,2195.89,1875.19,Quintal
2024-04-26,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1630.81,2144.14,1838.15,Quintal
2024-04-27,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1646.13,2215.02,1861.97,Quintal
2024-04-28,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1710.62,2150.89,1849.14,Quintal
2024-04-29,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1596.45,2199.67,1855.66,Quintal
2024-04-30,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1662.16,2231.89,1884.52,Quintal
2024-05-01,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1598.37,1890.94,1798.11,Quintal
2024-05-02,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1733.49,2083.75,1834.26,Quintal
2024-05-03,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1654.52,2024.29,1811.82,Quintal
2024-05-04,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1611.37,2042.83,1756.74,Quintal
2024-05-05,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1628.96,2048.46,1753.16,Quintal
2024-05-06,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1497.81,1982.07,1750.28,Quintal
2024-05-07,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1514.93,2004.58,1694.26,Quintal
2024-05-08,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1479.75,1993.25,1712.08,Quintal
2024-05-09,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1607.75,1878.14,1763.23,Quintal
2024-05-10,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1559.48,2134.33,1819.11,Quintal
2024-05-11,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1632.35,1883.38,1773.09,Quintal
2024-05-12,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1594.7,2041.3,1712.38,Quintal
2024-05-13,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1536.06,1883.24,1619.29,Quintal
2024-05-14,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1562.61,1909.67,1684.37,Quintal
2024-05-15,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1548.5,2057.83,1735.17,Quintal
2024-05-16,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1499.62,1973.87,1761.91,Quintal
2024-05-17,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1452.51,1812.73,1697.59,Quintal
2024-05-18,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1674.98,2060.66,1811.56,Quintal
2024-05-19,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1640.98,1918.49,1734.26,Quintal
2024-05-20,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1530.81,2096.07,1754.79,Quintal
2024-05-21,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1431.66,2010.68,1681.9,Quintal
2024-05-22,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1493.17,1973.32,1741.55,Quintal
2024-05-23,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1644.35,1959.59,1736.51,Quintal
2024-05-24,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1664.54,2126.8,1858.87,Quintal
2024-05-25,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1664.3,2171.31,1832.06,Quintal
2024-05-26,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1701.27,2089.85,1938.25,Quintal
2024-05-27,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1442.77,1775.36,1609.57,Quintal
2024-05-28,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1539.01,1945.91,1624.39,Quintal
2024-05-29,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1568.86,1928.06,1705.63,Quintal
2024-05-30,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1633.37,1910.65,1778.35,Quintal
2024-05-31,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1572.8,1961.01,1671.25,Quintal
2024-06-01,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1532.49,1916.95,1624.66,Quintal
2024-06-02,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1605.57,1980.29,1878.91,Quintal
2024-06-03,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1642.38,1856.75,1731.14,Quintal
2024-06-04,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1468.23,1787.45,1614.49,Quintal
2024-06-05,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1473.21,1802.94,1652.54,Quintal
2024-06-06,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1512.46,2085.3,1767.64,Quintal
2024-06-07,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1559.98,2005.66,1683.01,Quintal
2024-06-08,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1586.43,1844.57,1696.78,Quintal
2024-06-09,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1532.68,1849.66,1621.19,Quintal
2024-06-10,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1392.22,1835.45,1595.0,Quintal
2024-06-11,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1290.26,1723.73,1497.94,Quintal
2024-06-12,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1556.51,2011.75,1725.57,Quintal
2024-06-13,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1564.49,1960.2,1728.36,Quintal
2024-06-14,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1549.81,1835.51,1652.84,Quintal
2024-06-15,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1571.89,1847.76,1707.81,Quintal
2024-06-16,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1532.09,1866.57,1774.0,Quintal
2024-06-17,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1469.16,1843.2,1652.18,Quintal
2024-06-18,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1358.73,1592.54,1444.82,Quintal
2024-06-19,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1518.63,1951.62,1706.99,Quintal
2024-06-20,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1504.43,1916.1,1606.89,Quintal
2024-06-21,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1325.77,1771.32,1479.79,Quintal
2024-06-22,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1454.36,1777.9,1617.29,Quintal
2024-06-23,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1312.96,1637.14,1530.99,Quintal
2024-06-24,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1368.0,1700.92,1585.52,Quintal
2024-06-25,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1365.03,1732.41,1572.27,Quintal
2024-06-26,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1392.14,1660.9,1481.5,Quintal
2024-06-27,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1293.51,1571.64,1488.11,Quintal
2024-06-28,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1398.59,1761.42,1613.34,Quintal
2024-06-29,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1372.35,1741.21,1576.27,Quintal
2024-06-30,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1363.75,1747.3,1514.7,Quintal
2024-07-01,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1352.24,1714.0,1442.6,Quintal
2024-07-02,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1304.13,1662.75,1523.32,Quintal
2024-07-03,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1358.58,1691.72,1564.37,Quintal
2024-07-04,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1406.49,1780.1,1585.59,Quintal
2024-07-05,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1272.83,1650.41,1420.17,Quintal
2024-07-06,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1411.08,1798.2,1652.96,Quintal
2024-07-07,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1443.73,1810.05,1602.07,Quintal
2024-07-08,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1276.96,1657.34,1483.6,Quintal
2024-07-09,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1180.02,1489.07,1345.64,Quintal
2024-07-10,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1274.3,1642.69,1495.65,Quintal
2024-07-11,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1241.41,1704.59,1440.2,Quintal
2024-07-12,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1288.4,1631.99,1416.82,Quintal
2024-07-13,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1296.62,1707.15,1510.0,Quintal
2024-07-14,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1485.89,1899.81,1635.21,Quintal
2024-07-15,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1179.56,1483.17,1342.89,Quintal
2024-07-16,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1297.46,1611.01,1418.62,Quintal
2024-07-17,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1148.87,1433.02,1335.62,Quintal
2024-07-18,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1309.71,1608.47,1497.5,Quintal
2024-07-19,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1230.43,1680.39,1418.63,Quintal
2024-07-20,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1208.15,1589.25,1408.06,Quintal
2024-07-21,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1297.1,1671.33,1506.14,Quintal
2024-07-22,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1310.28,1632.52,1383.69,Quintal
2024-07-23,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1173.63,1556.95,1353.52,Quintal
2024-07-24,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1383.27,1662.84,1466.97,Quintal
2024-07-25,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1195.98,1390.95,1290.24,Quintal
2024-07-26,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1298.66,1639.3,1471.79,Quintal
2024-07-27,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1132.62,1500.89,1314.74,Quintal
2024-07-28,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1278.63,1654.46,1454.87,Quintal
2024-07-29,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1218.17,1426.55,1348.64,Quintal
2024-07-30,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1123.1,1360.14,1270.97,Quintal
2024-07-31,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1272.11,1674.27,1453.07,Quintal
2024-08-01,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1242.39,1528.59,1341.64,Quintal
2024-08-02,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1067.34,1434.67,1206.18,Quintal
2024-08-03,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1256.39,1608.76,1346.52,Quintal
2024-08-04,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1366.45,1559.51,1447.76,Quintal
